Year,M_Year_r1,M_Year_r2,M_Year_k1,M_Year_k2,M_Year_m1,M_Year_mh1,RAWLINGS1,AnnotationR1,TooltipR1,RAWLINGS2,AnnotationR2,TooltipR2,KUFFOUR1,AnnotationK1,TooltipK1,KUFFOUR2,AnnotationK2,TooltipK2,MILLS1,AnnotationM1,TooltipsM1,MAHAMA2,AnnotationM2,,YearBars,Style,Annotation,New,old
Dec-Year3,Dec-95,Dec-99,Dec-03,Dec-07,Dec-11,Dec-15,0.1427,,"NDC (Rawlings1): Dec-95 , 0.1427 Ghc",0.3391,,"NDC (Rawlings2): Dec-99 , 0.3391 Ghc",0.8587,,"NDC (Kuffour1): Dec-03 , 0.8587 Ghc",0.9535,,"NDC (Kuffour2): Dec-07 , 0.9535 Ghc",1.6268,,"NDC (Mills1): Dec-11 , 1.6268 Ghc",,,"NDC (Mahama1): Dec-15 , null Ghc",4,color: gray; opacity: 0.3,null,"['Dec-Year3',0.1427,null,0.3391,null,0.8587,null,0.9535,null,1.6268,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,12),0.1427,null, 'NDC (Rawlings1): 12-1995 , 0.1427',0.3391,null,0.8587,null,0.9535,null,1.6268,null,null,null,4],"
Jan-Year4,Jan-96,Jan-00,Jan-04,Jan-08,Jan-12,Jan-16,0.1465,,"NDC (Rawlings1): Jan-96 , 0.1465 Ghc",0.3507,,"NDC (Rawlings2): Jan-00 , 0.3507 Ghc",0.8623,,"NDC (Kuffour1): Jan-04 , 0.8623 Ghc",0.9547,,"NDC (Kuffour2): Jan-08 , 0.9547 Ghc",1.6716,,"NDC (Mills1): Jan-12 , 1.6716 Ghc",,,"NDC (Mahama1): Jan-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Jan-Year4',0.1465,null,0.3507,null,0.8623,null,0.9547,null,1.6716,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,1),0.1465,null, 'NDC (Rawlings1): 1-1996 , 0.1465',0.3507,null,0.8623,null,0.9547,null,1.6716,null,null,null,4],"
Feb-Year4,Feb-96,Feb-00,Feb-04,Feb-08,Feb-12,Feb-16,0.151,,"NDC (Rawlings1): Feb-96 , 0.151 Ghc",0.3604,,"NDC (Rawlings2): Feb-00 , 0.3604 Ghc",0.8675,,"NDC (Kuffour1): Feb-04 , 0.8675 Ghc",0.9592,,"NDC (Kuffour2): Feb-08 , 0.9592 Ghc",1.6868,NDC (Mills 1),"NDC (Mills1): Feb-12 , 1.6868 Ghc",,,"NDC (Mahama1): Feb-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Feb-Year4',0.151,null,0.3604,null,0.8675,null,0.9592,null,1.6868,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,2),0.151,null, 'NDC (Rawlings1): 2-1996 , 0.151',0.3604,null,0.8675,null,0.9592,null,1.6868,null,null,null,4],"
Mar-Year4,Mar-96,Mar-00,Mar-04,Mar-08,Mar-12,Mar-16,0.155,,"NDC (Rawlings1): Mar-96 , 0.155 Ghc",0.3963,,"NDC (Rawlings2): Mar-00 , 0.3963 Ghc",0.8722,,"NDC (Kuffour1): Mar-04 , 0.8722 Ghc",0.9601,,"NDC (Kuffour2): Mar-08 , 0.9601 Ghc",1.7279,,"NDC (Mills1): Mar-12 , 1.7279 Ghc",,,"NDC (Mahama1): Mar-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Mar-Year4',0.155,null,0.3963,null,0.8722,null,0.9601,null,1.7279,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,3),0.155,null, 'NDC (Rawlings1): 3-1996 , 0.155',0.3963,null,0.8722,null,0.9601,null,1.7279,null,null,null,4],"
Apr-Year4,Apr-96,Apr-00,Apr-04,Apr-08,Apr-12,Apr-16,0.1585,,"NDC (Rawlings1): Apr-96 , 0.1585 Ghc",0.4249,,"NDC (Rawlings2): Apr-00 , 0.4249 Ghc",0.8835,,"NDC (Kuffour1): Apr-04 , 0.8835 Ghc",0.9728,,"NDC (Kuffour2): Apr-08 , 0.9728 Ghc",1.7955,,"NDC (Mills1): Apr-12 , 1.7955 Ghc",,,"NDC (Mahama1): Apr-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Apr-Year4',0.1585,null,0.4249,null,0.8835,null,0.9728,null,1.7955,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,4),0.1585,null, 'NDC (Rawlings1): 4-1996 , 0.1585',0.4249,null,0.8835,null,0.9728,null,1.7955,null,null,null,4],"
May-Year4,May-96,May-00,May-04,May-08,May-12,May-16,0.1608,,"NDC (Rawlings1): May-96 , 0.1608 Ghc",0.4445,,"NDC (Rawlings2): May-00 , 0.4445 Ghc",0.8807,,"NDC (Kuffour1): May-04 , 0.8807 Ghc",0.9825,,"NDC (Kuffour2): May-08 , 0.9825 Ghc",1.8709,,"NDC (Mills1): May-12 , 1.8709 Ghc",,,"NDC (Mahama1): May-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['May-Year4',0.1608,null,0.4445,null,0.8807,null,0.9825,null,1.8709,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,5),0.1608,null, 'NDC (Rawlings1): 5-1996 , 0.1608',0.4445,null,0.8807,null,0.9825,null,1.8709,null,null,null,4],"
Jun-Year4,Jun-96,Jun-00,Jun-04,Jun-08,Jun-12,Jun-16,0.1631,,"NDC (Rawlings1): Jun-96 , 0.1631 Ghc",0.4911,,"NDC (Rawlings2): Jun-00 , 0.4911 Ghc",0.8842,,"NDC (Kuffour1): Jun-04 , 0.8842 Ghc",1.041,,"NDC (Kuffour2): Jun-08 , 1.041 Ghc",1.8994,,"NDC (Mills1): Jun-12 , 1.8994 Ghc",,,"NDC (Mahama1): Jun-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Jun-Year4',0.1631,null,0.4911,null,0.8842,null,1.041,null,1.8994,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,6),0.1631,null, 'NDC (Rawlings1): 6-1996 , 0.1631',0.4911,null,0.8842,null,1.041,null,1.8994,null,null,null,4],"
Jul-Year4,Jul-96,Jul-00,Jul-04,Jul-08,Jul-12,Jul-16,0.1656,,"NDC (Rawlings1): Jul-96 , 0.1656 Ghc",0.5935,,"NDC (Rawlings2): Jul-00 , 0.5935 Ghc",0.8876,,"NDC (Kuffour1): Jul-04 , 0.8876 Ghc",1.0891,,"NDC (Kuffour2): Jul-08 , 1.0891 Ghc",1.9356,,"NDC (Mills1): Jul-12 , 1.9356 Ghc",,,"NDC (Mahama1): Jul-16 , null Ghc",4,color: gray; opacity: 0.4,Fourth Year,"['Jul-Year4',0.1656,null,0.5935,null,0.8876,null,1.0891,null,1.9356,null,null,null,4,'color: gray; opacity: 0.4',Fourth Year],","[new Date(2003,7),0.1656,null, 'NDC (Rawlings1): 7-1996 , 0.1656',0.5935,null,0.8876,null,1.0891,null,1.9356,null,null,null,4],"
Aug-Year4,Aug-96,Aug-00,Aug-04,Aug-08,Aug-12,Aug-16,0.1676,,"NDC (Rawlings1): Aug-96 , 0.1676 Ghc",0.631,,"NDC (Rawlings2): Aug-00 , 0.631 Ghc",0.8879,,"NDC (Kuffour1): Aug-04 , 0.8879 Ghc",1.141,,"NDC (Kuffour2): Aug-08 , 1.141 Ghc",1.9347,,"NDC (Mills1): Aug-12 , 1.9347 Ghc",,,"NDC (Mahama1): Aug-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Aug-Year4',0.1676,null,0.631,null,0.8879,null,1.141,null,1.9347,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,8),0.1676,null, 'NDC (Rawlings1): 8-1996 , 0.1676',0.631,null,0.8879,null,1.141,null,1.9347,null,null,null,4],"
Sep-Year4,Sep-96,Sep-00,Sep-04,Sep-08,Sep-12,Sep-16,0.1687,,"NDC (Rawlings1): Sep-96 , 0.1687 Ghc",0.6459,,"NDC (Rawlings2): Sep-00 , 0.6459 Ghc",0.8859,,"NDC (Kuffour1): Sep-04 , 0.8859 Ghc",1.1373,,"NDC (Kuffour2): Sep-08 , 1.1373 Ghc",1.8944,,"NDC (Mills1): Sep-12 , 1.8944 Ghc",,,"NDC (Mahama1): Sep-16 , null Ghc",4,color: gray; opacity: 0.4,null,"['Sep-Year4',0.1687,null,0.6459,null,0.8859,null,1.1373,null,1.8944,null,null,null,4,'color: gray; opacity: 0.4',null],","[new Date(2003,9),0.1687,null, 'NDC (Rawlings1): 9-1996 , 0.1687',0.6459,null,0.8859,null,1.1373,null,1.8944,null,null,null,4],"
